"student_id","gender","first_name","last_name","date_of_birth"
"sprs_508207_student_905","m","yuliana","boyle","2001-10-14"
"sprs_508207_student_327","f","tony","anderson","1942-03-23"
"sprs_508207_student_051","f","mustafa","bishop","1926-12-06"
"sprs_508207_student_200","f","jaidyn","slater","1916-05-30"
"sprs_508207_student_051","m","gideon","ramos","1915-06-05"
"sprs_508207_student_474","m","desmond","acosta","1960-11-17"
"sprs_508207_student_701","m","reagan","mccarty","1983-01-26"
"sprs_508207_student_972","f","neveah","burris","1941-04-14"
"sprs_508207_student_021","f","donte","wilder","1908-06-30"
"sprs_508207_student_472","m","madyson","larson","1922-03-08"
"sprs_508207_student_492","m","derrick","reid","1950-03-03"
"sprs_508207_student_537","m","edwin","soto","1946-10-28"
"sprs_508207_student_358","f","adan","moore","1995-10-22"
"sprs_508207_student_026","f","cayden","guy","2003-10-10"
"sprs_508207_student_791","f","jamison","madden","1971-01-01"
"sprs_508207_student_700","f","liv","daugherty","1991-09-24"
"sprs_508207_student_241","f","maryam","sosa","1945-02-17"
"sprs_508207_student_273","m","ernest","wolfe","1995-02-10"
"sprs_508207_student_602","m","zackery","poole","2011-03-25"
"sprs_508207_student_621","m","payton","allen","1959-03-25"
"sprs_508207_student_112","f","trystan","short","1953-05-22"
"sprs_508207_student_732","m","lexie","ochoa","1918-09-10"
"sprs_508207_student_071","f","nancy","mathis","1955-09-06"
"sprs_508207_student_750","f","jacob","stevens","2007-04-27"
"sprs_508207_student_118","m","kynlee","kent","1957-07-03"
"sprs_508207_student_413","f","lydia","chase","1919-03-21"
"sprs_508207_student_174","m","belen","finley","1912-04-24"
"sprs_508207_student_711","m","brennen","douglas","1912-01-18"
"sprs_508207_student_242","f","chance","hansen","1977-05-27"
"sprs_508207_student_858","m","miracle","brooks","1901-11-10"
"sprs_508207_student_324","f","bently","lindsay","1958-05-30"
"sprs_508207_student_552","m","kayson","key","1912-11-26"
"sprs_508207_student_092","f","taylor","carroll","1999-02-10"
"sprs_508207_student_946","m","yuliana","roberson","1971-03-14"
"sprs_508207_student_642","m","aubrie","mcintosh","2009-01-03"
"sprs_508207_student_780","f","rylie","henson","1979-01-25"
"sprs_508207_student_559","m","amirah","becker","1934-10-19"
"sprs_508207_student_027","f","camdyn","fletcher","2010-12-08"
"sprs_508207_student_516","m","ali","burke","1906-10-15"
"sprs_508207_student_278","f","marlene","macias","1909-06-27"
"sprs_508207_student_126","m","anaya","bishop","2006-08-30"
"sprs_508207_student_667","m","jimena","herrera","1980-02-12"
"sprs_508207_student_547","m","jaycee","banks","1940-09-17"
"sprs_508207_student_742","f","keegan","weiss","1988-03-27"
"sprs_508207_student_221","f","jaydin","bond","1932-05-06"
"sprs_508207_student_274","f","jayda","schwartz","1966-10-03"
"sprs_508207_student_949","f","alisson","abbott","2004-07-31"
"sprs_508207_student_228","f","conrad","nunez","1923-12-25"
"sprs_508207_student_646","m","halle","horne","1972-11-03"
"sprs_508207_student_211","f","justin","crane","1977-01-05"
"sprs_508207_student_720","m","ivan","gay","1964-11-12"
"sprs_508207_student_671","m","nadia","stone","1990-12-18"
"sprs_508207_student_070","f","hezekiah","justice","1981-09-05"
"sprs_508207_student_017","f","amanda","haley","1998-10-06"
"sprs_508207_student_990","m","skyler","mcbride","1976-11-13"
"sprs_508207_student_990","f","osvaldo","bauer","1952-09-13"
"sprs_508207_student_753","f","blaise","santos","2002-06-12"
"sprs_508207_student_863","f","alyson","prince","1940-06-12"
"sprs_508207_student_547","f","arianna","wright","1948-08-23"
"sprs_508207_student_405","f","miriam","lee","1986-11-05"
"sprs_508207_student_164","f","cortez","greer","1979-02-15"
"sprs_508207_student_713","f","ishaan","pollard","1978-12-11"
"sprs_508207_student_485","m","charlotte","odonnell","1940-06-05"
"sprs_508207_student_018","f","lilyanna","kane","1958-11-16"
"sprs_508207_student_713","f","bryanna","larsen","1969-02-15"
"sprs_508207_student_062","f","jillian","wolf","1995-04-17"
